Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Siap Huni,Makassar,3,1,48,60,1,627000000,2025-05-15 14:01:30.732828
Siap Huni,Makassar,2,1,37,60,1,560000000,2025-05-15 14:01:30.733180
Siap Huni,Makassar,5,5,615,484,0,17500000000,2025-05-15 14:01:30.733811
Rumah Murah Dan Mewah 900 Jutaan 4 Kamar The Harvest,Makassar,4,3,72,80,0,988000000,2025-05-15 14:01:30.734140
Siap Huni,Makassar,4,3,72,82,3,988000000,2025-05-15 14:01:30.734785
Siap Huni,Makassar,3,3,84,91,3,1200000000,2025-05-15 14:01:30.735162
Siap Huni,Makassar,3,2,64,55,0,777000000,2025-05-15 14:01:30.735526
Dekat Akses Transportasi,Makassar,3,1,48,60,0,615000000,2025-05-15 14:01:30.735906
Siap Huni,Makassar,1,2,346,340,0,9000000000,2025-05-15 14:01:30.736269
Dekat Akses Transportasi,Makassar,3,1,60,48,0,615000000,2025-05-15 14:01:30.736614
Dijual Rumah Baru 1 Lantai Tipe 54/90 Nyaman,Makassar,2,2,90,54,0,475000000,2025-05-15 14:01:30.736950
Subsidi,Makassar,3,3,101,90,2,1600000000,2025-05-15 14:01:30.737314
Dekat Sekolah,Makassar,3,2,89,77,1,1500000000,2025-05-15 14:01:30.737657
Siap Huni,Makassar,3,3,300,270,1,4250000000,2025-05-15 14:01:33.041794
Siap Huni,Makassar,7,5,330,273,1,2600000000,2025-05-15 14:01:33.042507
Dekat Pusat Perbelanjaan,Makassar,4,3,144,210,0,3800000000,2025-05-15 14:01:33.043093
Siap Huni,Makassar,3,2,120,80,0,1100000000,2025-05-15 14:01:33.043449
Siap Huni,Makassar,4,3,791,350,1,8500000000,2025-05-15 14:01:33.043745
Siap Huni,Makassar,4,3,300,400,1,5500000000,2025-05-15 14:01:33.044074
Siap Huni,Makassar,3,3,163,122,0,2200000000,2025-05-15 14:01:33.044348
Siap Huni,Makassar,3,1,142,70,0,1000000000,2025-05-15 14:01:33.044694
Rumah kost tengah kota lokasi strategis,Makassar,10,12,300,225,0,5500000000,2025-05-15 14:01:33.045039
Rumah di hertasning baru perumahan royal spring,Makassar,2,1,105,56,0,750000000,2025-05-15 14:01:33.045319
Jual Rumah Cantik 2 Lt Type Mahogani Tanjung Bunga 10x20m2,Makassar,3,3,200,185,0,3250000000,2025-05-15 14:01:33.046564
Jual Rumah,Makassar,3,2,300,185,0,12000000000,2025-05-15 14:01:33.046841
Dekat Fasilitas Kesehatan,Makassar,5,2,150,49,0,2500000000,2025-05-15 14:01:33.047157
Siap Huni,Makassar,4,2,172,120,0,1400000000,2025-05-15 14:01:33.047462
Jual Rumah 2 Lt Jl.timah 4,Makassar,3,2,140,108,0,2300000000,2025-05-15 14:01:33.047723
Jual Rumah Komp Mawar Jl.penganyoman,Makassar,2,1,72,58,0,1200000000,2025-05-15 14:01:33.048017
Dekat Sekolah,Makassar,2,1,72,42,1,400000000,2025-05-15 14:01:35.351032
Jual Rumahmewah 2 Lt,Makassar,4,3,145,125,0,4250000000,2025-05-15 14:01:35.351538
Bebas Banjir,Makassar,4,5,360,700,0,7500000000,2025-05-15 14:01:35.352528
Dekat Sekolah,Makassar,3,2,84,96,2,1380000000,2025-05-15 14:01:35.354134
Dekat Akses Transportasi,Makassar,4,3,273,312,1,5370000000,2025-05-15 14:01:35.354433
Siap Huni,Makassar,2,1,78,36,1,490000000,2025-05-15 14:01:37.655780
Siap Huni,Makassar,5,4,120,170,2,1500000000,2025-05-15 14:01:37.656187
Dekat Sekolah,Makassar,3,3,234,222,1,3670000000,2025-05-15 14:01:37.656523
